Afghanistan,ICC World XI,India,Pakistan,Bangladesh,Sri Lanka,West Indies,Zimbabwe,England,New Zealand,South Africa,Australia,Ireland,date,Test
1200.0,1200.0,1151.4672,1200.0,1200.0,1200.0,1251.6196,1200.0,1183.9514,1164.21,1114.0116,1334.7402,1200.0,1952-02-08,Test # 349
1200.0,1200.0,1151.4672,1200.0,1200.0,1200.0,1250.8728,1200.0,1183.9514,1164.9568,1114.0116,1334.7402,1200.0,1952-02-15,Test # 350
1200.0,1200.0,1143.3728,1200.0,1200.0,1200.0,1250.8728,1200.0,1192.0458,1164.9568,1114.0116,1334.7402,1200.0,1952-06-05,Test # 351
1200.0,1200.0,1135.7514,1200.0,1200.0,1200.0,1250.8728,1200.0,1199.6672,1164.9568,1114.0116,1334.7402,1200.0,1952-06-19,Test # 352
1200.0,1200.0,1128.5629,1200.0,1200.0,1200.0,1250.8728,1200.0,1206.8557,1164.9568,1114.0116,1334.7402,1200.0,1952-07-17,Test # 353
1200.0,1200.0,1132.8707,1200.0,1200.0,1200.0,1250.8728,1200.0,1202.5479,1164.9568,1114.0116,1334.7402,1200.0,1952-08-14,Test # 354
1200.0,1200.0,1144.0707,1188.8,1200.0,1200.0,1250.8728,1200.0,1202.5479,1164.9568,1114.0116,1334.7402,1200.0,1952-10-16,Test # 355
1200.0,1200.0,1132.3557,1200.515,1200.0,1200.0,1250.8728,1200.0,1202.5479,1164.9568,1114.0116,1334.7402,1200.0,1952-10-23,Test # 356
1200.0,1200.0,1143.5886,1189.2821,1200.0,1200.0,1250.8728,1200.0,1202.5479,1164.9568,1114.0116,1334.7402,1200.0,1952-11-13,Test # 357
1200.0,1200.0,1143.0043,1189.8664,1200.0,1200.0,1250.8728,1200.0,1202.5479,1164.9568,1114.0116,1334.7402,1200.0,1952-12-01,Test # 358
1200.0,1200.0,1143.0043,1189.8664,1200.0,1200.0,1250.8728,1200.0,1202.5479,1164.9568,1110.4019,1338.3499,1200.0,1952-12-05,Test # 359
1200.0,1200.0,1142.4572,1190.4135,1200.0,1200.0,1250.8728,1200.0,1202.5479,1164.9568,1110.4019,1338.3499,1200.0,1952-12-12,Test # 360
1200.0,1200.0,1142.4572,1190.4135,1200.0,1200.0,1250.8728,1200.0,1202.5479,1164.9568,1129.1161,1319.6357,1200.0,1952-12-24,Test # 361
1200.0,1200.0,1142.4572,1190.4135,1200.0,1200.0,1250.8728,1200.0,1202.5479,1164.9568,1124.9495,1323.8023,1200.0,1953-01-09,Test # 362
1200.0,1200.0,1147.5539,1190.4135,1200.0,1200.0,1245.7761,1200.0,1202.5479,1164.9568,1124.9495,1323.8023,1200.0,1953-01-21,Test # 363
1200.0,1200.0,1147.5539,1190.4135,1200.0,1200.0,1245.7761,1200.0,1202.5479,1164.9568,1132.0429,1316.7089,1200.0,1953-01-24,Test # 364
1200.0,1200.0,1147.5539,1190.4135,1200.0,1200.0,1245.7761,1200.0,1202.5479,1164.9568,1149.9611,1298.7907,1200.0,1953-02-06,Test # 365
1200.0,1200.0,1141.2902,1190.4135,1200.0,1200.0,1252.0398,1200.0,1202.5479,1164.9568,1149.9611,1298.7907,1200.0,1953-02-07,Test # 366
1200.0,1200.0,1146.4456,1190.4135,1200.0,1200.0,1246.8844,1200.0,1202.5479,1164.9568,1149.9611,1298.7907,1200.0,1953-02-19,Test # 367
1200.0,1200.0,1146.4456,1190.4135,1200.0,1200.0,1246.8844,1200.0,1202.5479,1151.3756,1163.5423,1298.7907,1200.0,1953-03-06,Test # 368
1200.0,1200.0,1151.3391,1190.4135,1200.0,1200.0,1241.9909,1200.0,1202.5479,1151.3756,1163.5423,1298.7907,1200.0,1953-03-11,Test # 369
1200.0,1200.0,1151.3391,1190.4135,1200.0,1200.0,1241.9909,1200.0,1202.5479,1149.7318,1165.1861,1298.7907,1200.0,1953-03-13,Test # 370
1200.0,1200.0,1155.9776,1190.4135,1200.0,1200.0,1237.3524,1200.0,1202.5479,1149.7318,1165.1861,1298.7907,1200.0,1953-04-04,Test # 371
1200.0,1200.0,1155.9776,1190.4135,1200.0,1200.0,1237.3524,1200.0,1203.5751,1149.7318,1165.1861,1297.7635,1200.0,1953-06-11,Test # 372
1200.0,1200.0,1155.9776,1190.4135,1200.0,1200.0,1237.3524,1200.0,1204.5372,1149.7318,1165.1861,1296.8014,1200.0,1953-06-25,Test # 373
1200.0,1200.0,1155.9776,1190.4135,1200.0,1200.0,1237.3524,1200.0,1205.4382,1149.7318,1165.1861,1295.9004,1200.0,1953-07-09,Test # 374
1200.0,1200.0,1155.9776,1190.4135,1200.0,1200.0,1237.3524,1200.0,1206.282,1149.7318,1165.1861,1295.0566,1200.0,1953-07-23,Test # 375
1200.0,1200.0,1155.9776,1190.4135,1200.0,1200.0,1237.3524,1200.0,1218.1722,1149.7318,1165.1861,1283.1664,1200.0,1953-08-15,Test # 376
1200.0,1200.0,1155.9776,1190.4135,1200.0,1200.0,1237.3524,1200.0,1218.1722,1141.1269,1173.791,1283.1664,1200.0,1953-12-11,Test # 377
1200.0,1200.0,1155.9776,1190.4135,1200.0,1200.0,1237.3524,1200.0,1218.1722,1133.0379,1181.88,1283.1664,1200.0,1953-12-24,Test # 378
1200.0,1200.0,1155.9776,1190.4135,1200.0,1200.0,1237.3524,1200.0,1218.1722,1136.5214,1178.3965,1283.1664,1200.0,1954-01-01,Test # 379
1200.0,1200.0,1155.9776,1190.4135,1200.0,1200.0,1245.8446,1200.0,1209.68,1136.5214,1178.3965,1283.1664,1200.0,1954-01-15,Test # 380
1200.0,1200.0,1155.9776,1190.4135,1200.0,1200.0,1245.8446,1200.0,1209.68,1128.703,1186.2149,1283.1664,1200.0,1954-02-02,Test # 381
1200.0,1200.0,1155.9776,1190.4135,1200.0,1200.0,1245.8446,1200.0,1209.68,1121.3342,1193.5837,1283.1664,1200.0,1954-02-05,Test # 382
1200.0,1200.0,1155.9776,1190.4135,1200.0,1200.0,1253.8303,1200.0,1201.6943,1121.3342,1193.5837,1283.1664,1200.0,1954-02-06,Test # 383
1200.0,1200.0,1155.9776,1190.4135,1200.0,1200.0,1239.1522,1200.0,1216.3724,1121.3342,1193.5837,1283.1664,1200.0,1954-03-02,Test # 384
1200.0,1200.0,1155.9776,1190.4135,1200.0,1200.0,1236.436,1200.0,1219.0886,1121.3342,1193.5837,1283.1664,1200.0,1954-03-17,Test # 385
1200.0,1200.0,1155.9776,1190.4135,1200.0,1200.0,1222.7836,1200.0,1232.741,1121.3342,1193.5837,1283.1664,1200.0,1954-04-03,Test # 386
1200.0,1200.0,1155.9776,1193.7083,1200.0,1200.0,1222.7836,1200.0,1229.4462,1121.3342,1193.5837,1283.1664,1200.0,1954-06-10,Test # 387
1200.0,1200.0,1155.9776,1185.71,1200.0,1200.0,1222.7836,1200.0,1237.4445,1121.3342,1193.5837,1283.1664,1200.0,1954-07-01,Test # 388
1200.0,1200.0,1155.9776,1189.2766,1200.0,1200.0,1222.7836,1200.0,1233.8779,1121.3342,1193.5837,1283.1664,1200.0,1954-07-22,Test # 389
1200.0,1200.0,1155.9776,1203.7375,1200.0,1200.0,1222.7836,1200.0,1219.417,1121.3342,1193.5837,1283.1664,1200.0,1954-08-12,Test # 390
1200.0,1200.0,1155.9776,1203.7375,1200.0,1200.0,1222.7836,1200.0,1212.2239,1121.3342,1193.5837,1290.3595,1200.0,1954-12-01,Test # 391
1200.0,1200.0,1155.9776,1203.7375,1200.0,1200.0,1222.7836,1200.0,1227.6275,1121.3342,1193.5837,1274.9559,1200.0,1954-12-17,Test # 392
1200.0,1200.0,1155.9776,1203.7375,1200.0,1200.0,1222.7836,1200.0,1242.1673,1121.3342,1193.5837,1260.4161,1200.0,1955-01-05,Test # 393
1200.0,1200.0,1159.4299,1200.2852,1200.0,1200.0,1222.7836,1200.0,1242.1673,1121.3342,1193.5837,1260.4161,1200.0,1955-01-01,Test # 394
1200.0,1200.0,1162.6817,1197.0334,1200.0,1200.0,1222.7836,1200.0,1242.1673,1121.3342,1193.5837,1260.4161,1200.0,1955-01-15,Test # 395
1200.0,1200.0,1162.6817,1197.0334,1200.0,1200.0,1222.7836,1200.0,1255.847,1121.3342,1193.5837,1246.7364,1200.0,1955-02-02,Test # 396
1200.0,1200.0,1165.7426,1193.9725,1200.0,1200.0,1222.7836,1200.0,1255.847,1121.3342,1193.5837,1246.7364,1200.0,1955-02-01,Test # 397
1200.0,1200.0,1168.6219,1191.0932,1200.0,1200.0,1222.7836,1200.0,1255.847,1121.3342,1193.5837,1246.7364,1200.0,1955-02-12,Test # 398
1200.0,1200.0,1168.6219,1191.0932,1200.0,1200.0,1222.7836,1200.0,1257.5862,1121.3342,1193.5837,1244.9972,1200.0,1955-03-03,Test # 399
1200.0,1200.0,1171.3289,1188.3862,1200.0,1200.0,1222.7836,1200.0,1257.5862,1121.3342,1193.5837,1244.9972,1200.0,1955-03-01,Test # 400
1200.0,1200.0,1171.3289,1188.3862,1200.0,1200.0,1222.7836,1200.0,1266.4106,1112.5098,1193.5837,1244.9972,1200.0,1955-03-11,Test # 401
1200.0,1200.0,1171.3289,1188.3862,1200.0,1200.0,1222.7836,1200.0,1274.7008,1104.2196,1193.5837,1244.9972,1200.0,1955-03-25,Test # 402
1200.0,1200.0,1171.3289,1188.3862,1200.0,1200.0,1210.355,1200.0,1274.7008,1104.2196,1193.5837,1257.4258,1200.0,1955-03-26,Test # 403
1200.0,1200.0,1171.3289,1188.3862,1200.0,1200.0,1209.8146,1200.0,1274.7008,1104.2196,1193.5837,1257.9662,1200.0,1955-04-11,Test # 404
1200.0,1200.0,1171.3289,1188.3862,1200.0,1200.0,1198.2086,1200.0,1274.7008,1104.2196,1193.5837,1269.5722,1200.0,1955-04-26,Test # 405
1200.0,1200.0,1171.3289,1188.3862,1200.0,1200.0,1198.4438,1200.0,1274.7008,1104.2196,1193.5837,1269.337,1200.0,1955-05-14,Test # 406
1200.0,1200.0,1171.3289,1188.3862,1200.0,1200.0,1198.4438,1200.0,1281.4166,1104.2196,1186.8679,1269.337,1200.0,1955-06-09,Test # 407
1200.0,1200.0,1171.3289,1188.3862,1200.0,1200.0,1187.564,1200.0,1281.4166,1104.2196,1186.8679,1280.2168,1200.0,1955-06-11,Test # 408
1200.0,1200.0,1171.3289,1188.3862,1200.0,1200.0,1187.564,1200.0,1287.7758,1104.2196,1180.5087,1280.2168,1200.0,1955-06-23,Test # 409
1200.0,1200.0,1171.3289,1188.3862,1200.0,1200.0,1187.564,1200.0,1271.6081,1104.2196,1196.6764,1280.2168,1200.0,1955-07-07,Test # 410
1200.0,1200.0,1171.3289,1188.3862,1200.0,1200.0,1187.564,1200.0,1256.2918,1104.2196,1211.9927,1280.2168,1200.0,1955-07-21,Test # 411
1200.0,1200.0,1171.3289,1188.3862,1200.0,1200.0,1187.564,1200.0,1264.0397,1104.2196,1204.2448,1280.2168,1200.0,1955-08-13,Test # 412
1200.0,1200.0,1171.3289,1195.02,1200.0,1200.0,1187.564,1200.0,1264.0397,1097.5858,1204.2448,1280.2168,1200.0,1955-10-13,Test # 413
1200.0,1200.0,1171.3289,1201.3041,1200.0,1200.0,1187.564,1200.0,1264.0397,1091.3017,1204.2448,1280.2168,1200.0,1955-10-26,Test # 414
1200.0,1200.0,1171.3289,1196.1675,1200.0,1200.0,1187.564,1200.0,1264.0397,1096.4383,1204.2448,1280.2168,1200.0,1955-11-07,Test # 415
1200.0,1200.0,1167.1138,1196.1675,1200.0,1200.0,1187.564,1200.0,1264.0397,1100.6534,1204.2448,1280.2168,1200.0,1955-11-19,Test # 416
1200.0,1200.0,1174.2312,1196.1675,1200.0,1200.0,1187.564,1200.0,1264.0397,1093.536,1204.2448,1280.2168,1200.0,1955-12-02,Test # 417
1200.0,1200.0,1169.8584,1196.1675,1200.0,1200.0,1187.564,1200.0,1264.0397,1097.9088,1204.2448,1280.2168,1200.0,1955-12-16,Test # 418
1200.0,1200.0,1165.7239,1196.1675,1200.0,1200.0,1187.564,1200.0,1264.0397,1102.0433,1204.2448,1280.2168,1200.0,1956-01-02,Test # 419
1200.0,1200.0,1172.9189,1196.1675,1200.0,1200.0,1187.564,1200.0,1264.0397,1094.8483,1204.2448,1280.2168,1200.0,1956-01-06,Test # 420
1200.0,1200.0,1172.9189,1196.1675,1200.0,1200.0,1197.7487,1200.0,1264.0397,1084.6636,1204.2448,1280.2168,1200.0,1956-02-03,Test # 421
1200.0,1200.0,1172.9189,1196.1675,1200.0,1200.0,1207.2909,1200.0,1264.0397,1075.1214,1204.2448,1280.2168,1200.0,1956-02-18,Test # 422
1200.0,1200.0,1172.9189,1196.1675,1200.0,1200.0,1216.2405,1200.0,1264.0397,1066.1718,1204.2448,1280.2168,1200.0,1956-03-03,Test # 423
1200.0,1200.0,1172.9189,1196.1675,1200.0,1200.0,1202.4456,1200.0,1264.0397,1079.9667,1204.2448,1280.2168,1200.0,1956-03-09,Test # 424
1200.0,1200.0,1172.9189,1196.1675,1200.0,1200.0,1202.4456,1200.0,1262.5214,1079.9667,1204.2448,1281.7351,1200.0,1956-06-07,Test # 425
1200.0,1200.0,1172.9189,1196.1675,1200.0,1200.0,1202.4456,1200.0,1249.9984,1079.9667,1204.2448,1294.2581,1200.0,1956-06-21,Test # 426
1200.0,1200.0,1172.9189,1196.1675,1200.0,1200.0,1202.4456,1200.0,1260.4684,1079.9667,1204.2448,1283.7881,1200.0,1956-07-12,Test # 427
1200.0,1200.0,1172.9189,1196.1675,1200.0,1200.0,1202.4456,1200.0,1270.2746,1079.9667,1204.2448,1273.9819,1200.0,1956-07-26,Test # 428
1200.0,1200.0,1172.9189,1196.1675,1200.0,1200.0,1202.4456,1200.0,1268.3675,1079.9667,1204.2448,1275.889,1200.0,1956-08-23,Test # 429
